Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method
22000005120,5 PEPPERMINT COBALT 15 STICKS, Household,Tin,6,9,5, No Tax, exclusive
22000005144,5 SPEARMINT RAIN 15 STICKS, Household,Tin,6,9,5, No Tax, exclusive
22000015532,5 WINTERMINT ASCENT GUM, Household,Tin,6,7,5, No Tax, exclusive
6.03E+12,7UPS CAN PCS, Household,Tin,2,2.5,5, No Tax, exclusive
4.02E+12,A LWAYS ULTRA VALUE PACK 14 EXTRA LONG, Household,Tin,9,9.5,5, No Tax, exclusive
76150232486,ACT II BUTTER MICROWAVE POPCORN 78G, Household,Tin,2.5,3,5, No Tax, exclusive
60049,ACTI LEAF SOYA MILK 1L PCS, Household,Tin,11.5,12.5,5, No Tax, exclusive
60039,ACTIVE ANTISEPTIC LIQUID 5L, Household,Tin,27,28,5, No Tax, exclusive
60041,ACTIVE BLEACH 5L, Household,Tin,19,20,5, No Tax, exclusive
60040,ACTIVE DETERGENT GREEN LIQUID 5L, Household,Tin,19,20,5, No Tax, exclusive
60162,ACTIVE DETERGENT ORANGE 5L, Household,Tin,19,20,5, No Tax, exclusive
3.41E+12,ADIDAS DEEP ENERGY 100ML SPRAY, Household,Tin,37,38,5, No Tax, exclusive
3.39E+12,AFRICA QUEEN MACKEREL 425G, Household,Tin,10,11,5, No Tax, exclusive
60131,AHUNKA, Household,Tin,0,0.2,5, No Tax, exclusive
4.00E+12,AIR WICK REFILL MACHINE, Household,Tin,42,46,5, No Tax, exclusive
6.00E+12,AIR WICK REFILL PURE, Household,Tin,20,21,5, No Tax, exclusive
3.06E+12,AIR WICK REFILL PURPLE LAVENDER, Household,Tin,20,21,5, No Tax, exclusive
5.01E+12,AIRWICK  4 IN 1 AIRFRESHNER, Household,Tin,11,12,5, No Tax, exclusive
5.60E+12,AIRWICK LIFE SCENTS REFILL, Household,Tin,42,46,5, No Tax, exclusive
5.90E+12,AJAX FLORAL FIESTA GREEN 1L, Household,Tin,11,13,5, No Tax, exclusive
5.90E+12,AJAX FLORAL FIESTA PURPLE  1L, Household,Tin,11,13,5, No Tax, exclusive
8.72E+12,AJAX MAX POWER GREEN 750ML, Household,Tin,12,13,5, No Tax, exclusive
8.72E+12,AJAX MAX POWER YELLOW 750ML, Household,Tin,12,13,5, No Tax, exclusive
6.04E+12,AKONA MILK CANDY, Household,Tin,4,5,5, No Tax, exclusive
9.50E+12,AKONO GINGER, Household,Tin,4,4.5,5, No Tax, exclusive
60094,AKWAABA BOX TISSUE, Household,Tin,4.5,6,5, No Tax, exclusive
5.01E+12,ALBERTO BALSAM TEA TREE TINGLE 400ML, Household,Tin,9,10,5, No Tax, exclusive
5.03E+12,ALEYNA HOT JALAPENO SAUCE 500G, Household,Tin,11,12,5, No Tax, exclusive
5.29E+12,AL-FAYAA RED LENTILS, Household,Tin,20,21,5, No Tax, exclusive
23456789-09876,ALMOND SACHET, Household,Tin,9,10,5, No Tax, exclusive
5.06E+12,ALOE DRINK MANGO 500ML, Household,Tin,6,7,5, No Tax, exclusive
5.06E+12,ALOE DRINK ORANGE 500ML, Household,Tin,6,7,5, No Tax, exclusive
5.41E+12,ALPRO ALMOND ORIGINAL MILK, Household,Tin,15,18,5, No Tax, exclusive
5.41E+12,ALPRO ALMOND UNSWEETENED MILK 1L, Household,Tin,15,17,5, No Tax, exclusive
5.41E+12,ALPRO SOYA UNSWEETENED MILK 1L, Household,Tin,16,17,5, No Tax, exclusive
8.89E+12,ALTECO A+B EPOPUTTY ADHESIVE 50G, Household,Tin,3,3.5,5, No Tax, exclusive
8.89E+12,ALTECO CLEAR EPOXY ADHESIVE 15G, Household,Tin,3,3.5,5, No Tax, exclusive
8.89E+12,ALTECO SUPER GLUE 3G, Household,Tin,0.8,1,5, No Tax, exclusive
6.03E+12,ALUMINIUM FOIL 37.5, Household,Tin,9,11,5, No Tax, exclusive
4.57E+14,ALUMINIUM PACK M/S, Household,Tin,9,10,5, No Tax, exclusive
60110,ALUMINIUM PACK S/S PK 50PCS, Household,Tin,25,26,5, No Tax, exclusive
5.00E+12,ALVARO PEAR PLASTIC, Household,Tin,1.5,2.5,5, No Tax, exclusive
5.00E+12,ALVARO PLASTIC 330ML PINEAPPLE, Household,Tin,1.5,2.5,5, No Tax, exclusive
4.02E+12,ALWAYS MAXI, Household,Tin,20,22,5, No Tax, exclusive
4.02E+12,ALWAYS MAXI NIGHT, Household,Tin,20,22,5, No Tax, exclusive
4.02E+12,ALWAYS MAXI THICK, Household,Tin,4,6,5, No Tax, exclusive
4.02E+12,ALWAYS ULTRA RED 8LONG LONGUE, Household,Tin,4,5,5, No Tax, exclusive
4.02E+12,ALWAYS ULTRA VALUE PACK 16 EXTRA LONG, Household,Tin,8,9.5,5, No Tax, exclusive
4.02E+12,ALWAYS UTRA BLUE 7 EXTRA LONG, Household,Tin,4.5,5,5, No Tax, exclusive
6.25E+12,AMAZON DATES MAAMOUL 12PCS, Household,Tin,12,12.5,5, No Tax, exclusive
6.25E+12,AMAZON MAAMOUL PISTACHIO 12PCS, Household,Tin,41,42,5, No Tax, exclusive
5.00E+12,AMBROSIA DEVON CUSTARD 1KG PCS, Household,Tin,12,13,5, No Tax, exclusive
