Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
22000005120,5 PEPPERMINT COBALT 15 STICKS, Household,Tin,6,9,5, No Tax, exclusive,,,,,,,,
022000005144,5 SPEARMINT RAIN 15 STICKS, Household,Tin,6,9,5, No Tax, exclusive,,,,,,,,
022000015532,5 WINTERMINT ASCENT GUM, Household,Tin,6,7,5, No Tax, exclusive,,,,,,,,
6034000005240,7UPS CAN PCS, Household,Tin,2,2.5,5, No Tax, exclusive,,,,,,,,
4015400439004,A LWAYS ULTRA VALUE PACK 14 EXTRA LONG, Household,Tin,9,9.5,5, No Tax, exclusive,,,,,,,,
076150232486,ACT II BUTTER MICROWAVE POPCORN 78G, Household,Tin,2.5,3,5, No Tax, exclusive,,,,,,,,
60049,ACTI LEAF SOYA MILK 1L PCS, Household,Tin,11.5,12.5,5, No Tax, exclusive,,,,,,,,
60039,ACTIVE ANTISEPTIC LIQUID 5L, Household,Tin,27,28,5, No Tax, exclusive,,,,,,,,
60041,ACTIVE BLEACH 5L, Household,Tin,19,20,5, No Tax, exclusive,,,,,,,,
60040,ACTIVE DETERGENT GREEN LIQUID 5L, Household,Tin,19,20,5, No Tax, exclusive,,,,,,,,
60162,ACTIVE DETERGENT ORANGE 5L, Household,Tin,19,20,5, No Tax, exclusive,,,,,,,,
3412241210303,ADIDAS DEEP ENERGY 100ML SPRAY, Household,Tin,37,38,5, No Tax, exclusive,,,,,,,,
3393710003520,AFRICA QUEEN MACKEREL 425G, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
60131,AHUNKA, Household,Tin,0,0.2,5, No Tax, exclusive,,,,,,,,
4002448081456,AIR WICK REFILL MACHINE, Household,Tin,42,46,5, No Tax, exclusive,,,,,,,,
5997321757957,AIR WICK REFILL PURE, Household,Tin,20,21,5, No Tax, exclusive,,,,,,,,
3059943009080,AIR WICK REFILL PURPLE LAVENDER, Household,Tin,20,21,5, No Tax, exclusive,,,,,,,,
5011417556665,AIRWICK  4 IN 1 AIRFRESHNER, Household,Tin,11,12,5, No Tax, exclusive,,,,,,,,
5601217127518,AIRWICK LIFE SCENTS REFILL, Household,Tin,42,46,5, No Tax, exclusive,,,,,,,,
5900273472939,AJAX FLORAL FIESTA GREEN 1L, Household,Tin,11,13,5, No Tax, exclusive,,,,,,,,
5900273462213,AJAX FLORAL FIESTA PURPLE  1L, Household,Tin,11,13,5, No Tax, exclusive,,,,,,,,
8718951057265,AJAX MAX POWER GREEN 750ML, Household,Tin,12,13,5, No Tax, exclusive,,,,,,,,
8718951057258,AJAX MAX POWER YELLOW 750ML, Household,Tin,12,13,5, No Tax, exclusive,,,,,,,,
6036000056284,AKONA MILK CANDY, Household,Tin,4,5,5, No Tax, exclusive,,,,,,,,
9501101380240,AKONO GINGER, Household,Tin,4,4.5,5, No Tax, exclusive,,,,,,,,
60094,AKWAABA BOX TISSUE, Household,Tin,4.5,6,5, No Tax, exclusive,,,,,,,,
5012254059586,ALBERTO BALSAM TEA TREE TINGLE 400ML, Household,Tin,9,10,5, No Tax, exclusive,,,,,,,,
5025820003302,ALEYNA HOT JALAPENO SAUCE 500G, Household,Tin,11,12,5, No Tax, exclusive,,,,,,,,
5287000569552,AL-FAYAA RED LENTILS, Household,Tin,20,21,5, No Tax, exclusive,,,,,,,,
23456789-09876,ALMOND SACHET, Household,Tin,9,10,5, No Tax, exclusive,,,,,,,,
5060358090035,ALOE DRINK MANGO 500ML, Household,Tin,6,7,5, No Tax, exclusive,,,,,,,,
5060358090936,ALOE DRINK ORANGE 500ML, Household,Tin,6,7,5, No Tax, exclusive,,,,,,,,
5411188110835,ALPRO ALMOND ORIGINAL MILK, Household,Tin,15,18,5, No Tax, exclusive,,,,,,,,
5411188543398,ALPRO ALMOND UNSWEETENED MILK 1L, Household,Tin,15,17,5, No Tax, exclusive,,,,,,,,
5411188543398,ALPRO SOYA UNSWEETENED MILK 1L, Household,Tin,16,17,5, No Tax, exclusive,,,,,,,,
8888299808024,ALTECO A+B EPOPUTTY ADHESIVE 50G, Household,Tin,3,3.5,5, No Tax, exclusive,,,,,,,,
8888299804002,ALTECO CLEAR EPOXY ADHESIVE 15G, Household,Tin,3,3.5,5, No Tax, exclusive,,,,,,,,
8888299758183,ALTECO SUPER GLUE 3G, Household,Tin,0.8,1,5, No Tax, exclusive,,,,,,,,
6033000160089,ALUMINIUM FOIL 37.5, Household,Tin,9,11,5, No Tax, exclusive,,,,,,,,
4.5678908977e+014,ALUMINIUM PACK M/S, Household,Tin,9,10,5, No Tax, exclusive,,,,,,,,
60110,ALUMINIUM PACK S/S PK 50PCS, Household,Tin,25,26,5, No Tax, exclusive,,,,,,,,
5000213019191,ALVARO PEAR PLASTIC, Household,Tin,1.5,2.5,5, No Tax, exclusive,,,,,,,,
5000213019191,ALVARO PLASTIC 330ML PINEAPPLE, Household,Tin,1.5,2.5,5, No Tax, exclusive,,,,,,,,
4015400428688,ALWAYS MAXI, Household,Tin,20,22,5, No Tax, exclusive,,,,,,,,
4015400579526,ALWAYS MAXI NIGHT, Household,Tin,20,22,5, No Tax, exclusive,,,,,,,,
4015400671336,ALWAYS MAXI THICK, Household,Tin,4,6,5, No Tax, exclusive,,,,,,,,
4015400074366,ALWAYS ULTRA RED 8LONG LONGUE, Household,Tin,4,5,5, No Tax, exclusive,,,,,,,,
4015400213710,ALWAYS ULTRA VALUE PACK 16 EXTRA LONG, Household,Tin,8,9.5,5, No Tax, exclusive,,,,,,,,
4015400439035,ALWAYS UTRA BLUE 7 EXTRA LONG, Household,Tin,4.5,5,5, No Tax, exclusive,,,,,,,,
6253501821863,AMAZON DATES MAAMOUL 12PCS, Household,Tin,12,12.5,5, No Tax, exclusive,,,,,,,,
6253501821955,AMAZON MAAMOUL PISTACHIO 12PCS, Household,Tin,41,42,5, No Tax, exclusive,,,,,,,,
5000354800245,AMBROSIA DEVON CUSTARD 1KG PCS, Household,Tin,12,13,5, No Tax, exclusive,,,,,,,,
5000354905452,AMBROSIA DEVON CUSTARD TIN 400G, Household,Tin,5,6,5, No Tax, exclusive,,,,,,,,
6920438495633,AMERICAN HARVEST MUSHROOMS P&S 400G, Household,Tin,6,6.5,5, No Tax, exclusive,,,,,,,,
5029053562513,ANDREX CLASSIC CLEAN TOILET ROLL 4IN1, Household,Tin,24,25,5, No Tax, exclusive,,,,,,,,
5029053566191,ANDREX SKIN KIND TOILET ROLL 4IN1, Household,Tin,24,25,5, No Tax, exclusive,,,,,,,,
5029053566221,ANDREX SUPREME QUILTS TOILET TISSUE 4 ROLLS, Household,Tin,24,25,5, No Tax, exclusive,,,,,,,,
60080,ANGEL TOILET PAPER PCS, Household,Tin,1.5,2,5, No Tax, exclusive,,,,,,,,
3.2456789898e+015,ANGEL TOILET TISSUES, Household,Tin,12,14.5,5, No Tax, exclusive,,,,,,,,
6034000002157,ANNAPUNA 500G, Household,Tin,1,2,5, No Tax, exclusive,,,,,,,,
6034000002140,ANNAPUNA REFINED IODATED SALT 250G, Household,Tin,0.8,1,5, No Tax, exclusive,,,,,,,,
5025416991174,ANTIBACTERIAL HANDWASH 500ML (BLUE), Household,Tin,8,9,5, No Tax, exclusive,,,,,,,,
5025416991181,ANTIBACTERIAL HANDWASH 500ML (GREEN), Household,Tin,8,9,5, No Tax, exclusive,,,,,,,,
5060415851524,ANTIBACTERIAL HANDWASH ORIGINAL 750ML, Household,Tin,10,11,5, No Tax, exclusive,,,,,,,,
076301000100,APPLE & EVE APPLE JUICE 100% PK 12, Household,Tin,24,25,5, No Tax, exclusive,,,,,,,,
076301000155,APPLE & EVE FRUIT PUNCH 100% PK 12, Household,Tin,24,25,5, No Tax, exclusive,,,,,,,,
2.345678901e+013,APPLE (GREEN), Household,Tin,6,8,5, No Tax, exclusive,,,,,,,,
2.345467089e+013,APPLE (RED), Household,Tin,7,8,5, No Tax, exclusive,,,,,,,,
60120,APPLE AND EVE  VERY BERRY PK 12, Household,Tin,24,25,5, No Tax, exclusive,,,,,,,,
5000378998270,APTAMIL FIRST INFANT MILK 1, Household,Tin,90,100,5, No Tax, exclusive,,,,,,,,
5051594000001,APTAMIL GROWING UP 3, Household,Tin,90,100,5, No Tax, exclusive,,,,,,,,
60169,AQUA FILL 1.5L PCS, Household,Tin,2.5,3,5, No Tax, exclusive,,,,,,,,
60085,AQUA FILL 1.5ML BOX, Household,Tin,15,17,5, No Tax, exclusive,,,,,,,,
546444444444432,AQUA FILL BABY SIZE, Household,Tin,6,7,5, No Tax, exclusive,,,,,,,,
60084,AQUA FILL BOX 500ML, Household,Tin,15,17,5, No Tax, exclusive,,,,,,,,
60181,AQUA FILL WATER 500ML PCS, Household,Tin,1,1.5,5, No Tax, exclusive,,,,,,,,
5000347000898,AQUA FRESH EXTRA WHITE PASTE 75ML, Household,Tin,11,12,5, No Tax, exclusive,,,,,,,,
6001076001032,AQUA FRESH MILD MINTY 100ML, Household,Tin,0,7,5, No Tax, exclusive,,,,,,,,
60011,AQUAFILL DISPENSER BOTTLE, Household,Tin,8,9,5, No Tax, exclusive,,,,,,,,
6920151130811,ARABE PLASTIC PLATES 25PCS, Household,Tin,15,16,5, No Tax, exclusive,,,,,,,,
4084500406315,ARIEL PROFESSIONAL COLOUR 5.005L, Household,Tin,115,116,5, No Tax, exclusive,,,,,,,,
4084500951952,ARIEL PROFESSIONAL LIQUID 5L, Household,Tin,115,116,5, No Tax, exclusive,,,,,,,,
8001090395061,ARIEL PROFESSIONAL POWDER 7.150KG, Household,Tin,165,166,5, No Tax, exclusive,,,,,,,,
8001090313539,ARIEL WASHING POWDER 1KG, Household,Tin,14,15,5, No Tax, exclusive,,,,,,,,
8001090313508,ARIEL WASHING POWDER 500G, Household,Tin,7.5,8,5, No Tax, exclusive,,,,,,,,
5410076898909,ARIEL WASHING POWDER 90G, Household,Tin,1,1.5,5, No Tax, exclusive,,,,,,,,
613008724221,ARIZONA GREEN TEA 473ML, Household,Tin,4,5,5, No Tax, exclusive,,,,,,,,
033200011101,ARM & HAMMER BAKING SODA 454G, Household,Tin,10,13,5, No Tax, exclusive,,,,,,,,
27192917,ASDA LONG LIFE WHOLE MILK 1L, Household,Tin,11,12,5, No Tax, exclusive,,,,,,,,
