Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
DLP0402,3FER SYRUP,C1,box,0,10,5, No Tax, exclusive, SC1,,0,,,,,
DLP134,6HOUR SYR,C1,box,0,1.2,5, No Tax, exclusive, SC1,,0,,,,,
DLP3147,8HOUR MIXTURE,C1,box,0,20,5, No Tax, exclusive, SC1,,2,,,,,
DLP3148,ABIDEC DROPS,C1,box,0,50,5, No Tax, exclusive, SC1,,2,,,,,
DLP3149,ABIDEC MULTIVITAMIN,C1,box,0,18,5, No Tax, exclusive, SC1,,0,,,,,
DLP3150,ABONIKI BALM,C1,box,0,5,5, No Tax, exclusive, SC1,,7,,,,,
DLP3151,ABYVITA CAPS,C1,box,0,2,5, No Tax, exclusive, SC1,,26,,,,,
DLP3152,ACE PLUS TABLETS,C1,box,0,1.5,5, No Tax, exclusive, SC1,,0,,,,,
DLP3153,ACECLOFENAC 100MG TABLETS,C1,box,0,4.5,5, No Tax, exclusive, SC1,,0,,,,,
DLP3154,ACIDOM CAPSULES,C1,box,0,9,5, No Tax, exclusive, SC1,,1,,,,,
DLP3155,ACNERON CREAM,C1,box,0,5,5, No Tax, exclusive, SC1,,0,,,,,
DLP3156,ACT COARTEM 24'S,C1,box,0,6,5, No Tax, exclusive, SC1,,0,,,,,
DLP3157,ACT COATERM TABS 18'S,C1,box,0,6,5, No Tax, exclusive, SC1,,0,,,,,
DLP3158,ACT COARTEM TABS 6'S,C1,box,0,6,5, No Tax, exclusive, SC1,,0,,,,,
DLP3159,ACT ADULT TABLETS,C1,box,0,5,5, No Tax, exclusive, SC1,,4,,,,,
DLP3160,ACT COATERM 12TABS,C1,box,0,6,5, No Tax, exclusive, SC1,,0,,,,,
DLP3161,ACT COATERM TABS 12'S,C1,box,0,6,5, No Tax, exclusive, SC1,,0,,,,,
DLP3162,ACTIFED COLD TABLET,C1,box,0,1.5,5, No Tax, exclusive, SC1,,24,,,,,
DLP3163,ACTIFED COMPOUND LINCTUS,C1,box,0,18,5, No Tax, exclusive, SC1,,1,,,,,
DLP3164,ACTIFED DRY COUGH SYRUP,C1,box,0,18,5, No Tax, exclusive, SC1,,2,,,,,
DLP3165,ACTIFED SYRUP,C1,box,0,18,5, No Tax, exclusive, SC1,,1,,,,,
DLP3166,ADMAG SUSPENSION,C1,box,0,4,5, No Tax, exclusive, SC1,,0,,,,,
DLP3167,ADOM BITTERS  SYRUP,C1,box,0,2.8,5, No Tax, exclusive, SC1,,0,,,,,
DLP3168,ADOM GENTLEMAN CAPS,C1,box,0,16,5, No Tax, exclusive, SC1,,0,,,,,
DLP3169,ADOM Koo OINTMENT,C1,box,0,4,5, No Tax, exclusive, SC1,,2,,,,,
DLP3170,ADOM KOOKO CAPSULES LOOSE,C1,box,0,0.5,5, No Tax, exclusive, SC1,,107,,,,,
DLP3171,ADOM KOOKO SYRUP,C1,box,0,7,5, No Tax, exclusive, SC1,,3,,,,,
DLP3172,ADOM LADIES MIXTURE,C1,box,0,10,5, No Tax, exclusive, SC1,,4,,,,,
DLP3173,ADOM P AWAY CAPS,C1,box,0,13,5, No Tax, exclusive, SC1,,0,,,,,
DLP3174,ADOM P AWAY  CAPS,C1,box,0,11,5, No Tax, exclusive, SC1,,0,,,,,
